mbr_id,sid,row_dt,stg_cd,qst_no,qst_cd,text_cn,qst_cn,qst_cransr,qst_cransr_yn,qst_expl_scond
MPID0420140036945,mathpd29252654549863823,2021-08-18,E17_0_2,27,E17010001a,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,2400
MPID0629110045635,mathpd27948404121530473,2021-08-03,E17_0_2,4,E17010001a,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,3100
MPID0713100047089,mathpd33834893029940763,2021-10-10,E17_0_2,16,E17010001a,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,1400
MPID0727100048264,mathpd27627469551236860,2021-07-30,E17_0_2,6,E17010001a,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,4000
MPID0120050010343,mathpd27391223770556017,2021-07-27,E18_0_1,1,E17010001b,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,1300
MPID0120050010343,mathpd27621550965446183,2021-07-30,E18_0_1,28,E17010001b,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,2000
MPID0120060009320,mathpd28306377843670769,2021-08-07,E18_0_1,10,E17010001b,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,3000
MPID0120060011395,mathpd26780075360082651,2021-07-20,E18_0_1,6,E17010001b,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,7400
MPID0120060011959,mathpd26776625052187422,2021-07-20,E18_0_1,4,E17010001b,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,1700
MPID0126020013529,mathpd29081349733872458,2021-08-16,E18_0_1,8,E17010001b,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,3400
MPID0204130020792,mathpd29264429993337880,2021-08-18,E18_0_1,4,E17010001b,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,2400
MPID0319100030328,mathpd27559367939208339,2021-07-29,E18_0_1,10,E17010001b,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,1900
MPID0319100030328,mathpd27559627397945945,2021-07-29,E18_0_1,20,E17010001b,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,2300
MPID0319100030328,mathpd31931537749747078,2021-09-18,E18_0_1,18,E17010001b,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,2000
MPID0319100030328,mathpd31931537749747078,2021-09-18,E18_0_1,38,E17010001b,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,1700
MPID0319100032029,mathpd29710513707521629,2021-08-23,E18_0_1,4,E17010001b,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,2900
MPID0727100048264,mathpd27531077062572894,2021-07-29,E18_0_1,24,E17010001b,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,3100
MPID0727100048264,mathpd27531077062572894,2021-07-29,E18_0_1,34,E17010001b,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,2500
MPID0727100048264,mathpd27627010257443943,2021-07-30,E18_0_1,21,E17010001b,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,3600
MPID0120050010343,mathpd27621395116504300,2021-07-30,E18_0_2,10,E17010001c,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,2200
MPID0120060009320,mathpd28564447952732228,2021-08-10,E18_0_2,8,E17010001c,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,4500
MPID0225100025733,mathpd29617912173024733,2021-08-22,E18_0_2,1,E17010001c,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,1000
MPID0629110045635,mathpd28585977117345530,2021-08-10,E18_0_2,14,E17010001c,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,2900
MPID0629110045635,mathpd28847906851860750,2021-08-13,E18_0_2,10,E17010001c,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,2600
MPID0120060009320,mathpd28306553577191086,2021-08-07,E19_0_1,9,E17010001d,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,1900
MPID0126030014090,mathpd29266331727587982,2021-08-18,E19_0_1,4,E17010001d,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,1800
MPID0319100030328,mathpd27603068676149005,2021-07-30,E19_0_1,2,E17010001d,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,2200
MPID0629110045551,mathpd29208582380479294,2021-08-17,E19_0_1,6,E17010001d,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,2100
MPID0629110045635,mathpd28677805982787202,2021-08-11,E19_0_1,2,E17010001d,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,2400
MPID0713100047089,mathpd26948811101739863,2021-07-22,E19_0_1,17,E17010001d,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,1700
MPID0120060011959,mathpd26863960196451795,2021-07-21,E19_0_2,9,E17010001e,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,2000
MPID0330100032185,mathpd27372107593966559,2021-07-27,E19_0_2,9,E17010001e,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,5500
MPID0119040005879,mathpd31181991580090299,2021-09-09,E17_0_1,18,E17010002,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,2400
MPID0120050010343,mathpd27300675725052443,2021-07-26,E17_0_1,8,E17010002,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,2700
MPID0120060009320,mathpd28306138243701551,2021-08-07,E17_0_1,4,E17010002,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,2100
MPID0120060011959,mathpd26776218148362639,2021-07-20,E17_0_1,2,E17010002,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,4000
MPID0129050016470,mathpd31947207710044956,2021-09-18,E17_0_1,16,E17010002,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,2600
MPID0129050016470,mathpd31947207710044956,2021-09-18,E17_0_1,20,E17010002,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,5500
MPID0129050016470,mathpd31947416362365182,2021-09-18,E17_0_1,1,E17010002,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,1600
MPID0129050016615,mathpd27886252400554358,2021-08-02,E17_0_1,4,E17010002,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,3400
MPID0129050016615,mathpd28488741750880018,2021-08-09,E17_0_1,9,E17010002,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,3000
MPID0203100018443,mathpd30020372363679454,2021-08-27,E17_0_1,16,E17010002,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,2400
MPID0203100018443,mathpd30020372363679454,2021-08-27,E17_0_1,20,E17010002,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,3500
MPID0204130019760,mathpd28470027567329160,2021-08-09,E17_0_1,2,E17010002,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,2700
MPID0222100025417,mathpd28751395632642697,2021-08-12,E17_0_1,6,E17010002,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,2100
MPID0319100030328,mathpd27558697847043670,2021-07-29,E17_0_1,10,E17010002,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,2600
MPID0319100030328,mathpd27558780785273101,2021-07-29,E17_0_1,15,E17010002,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,2300
MPID0319100030328,mathpd27558780785273101,2021-07-29,E17_0_1,31,E17010002,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,2500
MPID0319100032029,mathpd29685376710416258,2021-08-23,E17_0_1,6,E17010002,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,3200
MPID0330100032185,mathpd27363819538306060,2021-07-27,E17_0_1,10,E17010002,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,3100
MPID0330100033689,mathpd29256477125158669,2021-08-18,E17_0_1,10,E17010002,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,3200
MPID0406110034324,mathpd30580089547799080,2021-09-02,E17_0_1,11,E17010002,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,3400
MPID0420140036805,mathpd31700971195379325,2021-09-15,E17_0_1,13,E17010002,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,3100
MPID0420140036805,mathpd32009591496098421,2021-09-19,E17_0_1,1,E17010002,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,900
MPID0420140036805,mathpd32009591496098421,2021-09-19,E17_0_1,21,E17010002,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,3500
MPID0420140036805,mathpd32009591496098421,2021-09-19,E17_0_1,33,E17010002,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,7800
MPID0629110045635,mathpd28677607664649677,2021-08-11,E17_0_1,9,E17010002,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,3200
MPID0713100047089,mathpd34217384562522716,2021-10-14,E17_0_1,13,E17010002,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,1600
MPID0727100048264,mathpd27530782850090511,2021-07-29,E17_0_1,9,E17010002,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,4400
MPID0729130048717,mathpd31615604139158913,2021-09-14,E17_0_1,13,E17010002,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,4000
MPID0729130050003,mathpd29369843667168625,2021-08-19,E17_0_1,10,E17010002,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,2800
MPID0729130050003,mathpd31000568851855533,2021-09-07,E17_0_1,18,E17010002,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,2200
MPID0902170062271,mathpd32928403937118106,2021-09-30,E17_0_1,15,E17010002,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,1500
MPID0120060009320,mathpd28564326232330568,2021-08-10,E17_0_2,6,E17010002a,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,1700
MPID0120060011959,mathpd26776539861231654,2021-07-20,E17_0_2,9,E17010002a,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,2000
MPID0126030014090,mathpd29266122327642086,2021-08-18,E17_0_2,1,E17010002a,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,3100
MPID0406110033988,mathpd26776644911085707,2021-07-20,E17_0_2,6,E17010002a,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,3200
MPID0406110033988,mathpd26776761105186909,2021-07-20,E17_0_2,15,E17010002a,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,3300
MPID0406110033988,mathpd26776761105186909,2021-07-20,E17_0_2,35,E17010002a,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,2800
MPID0420140036945,mathpd29252580208775895,2021-08-18,E17_0_2,8,E17010002a,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,4700
MPID0420140036945,mathpd29252654549863823,2021-08-18,E17_0_2,32,E17010002a,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,N,9900
MPID0629110045551,mathpd29208391503856529,2021-08-17,E17_0_2,1,E17010002a,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,2000
MPID0629110045635,mathpd27948404121530473,2021-08-03,E17_0_2,2,E17010002a,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,7900
MPID0629110045635,mathpd28847793928241527,2021-08-13,E17_0_2,10,E17010002a,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,2900
MPID0713100047089,mathpd33834893029940763,2021-10-10,E17_0_2,12,E17010002a,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,1400
MPID0713100047089,mathpd33834893029940763,2021-10-10,E17_0_2,30,E17010002a,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,3300
MPID0727100048264,mathpd27627469551236860,2021-07-30,E17_0_2,8,E17010002a,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,4300
MPID0120050010343,mathpd27621550965446183,2021-07-30,E18_0_1,10,E17010002b,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,2200
MPID0129050016615,mathpd28569199034292308,2021-08-10,E18_0_1,6,E17010002b,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,1900
MPID0204130020792,mathpd29263123067791028,2021-08-18,E18_0_1,2,E17010002b,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,2600
MPID0225100025733,mathpd29617848009696878,2021-08-22,E18_0_1,6,E17010002b,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,2200
MPID0319100030328,mathpd27559367939208339,2021-07-29,E18_0_1,21,E17010002b,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,2400
MPID0319100030328,mathpd27559627397945945,2021-07-29,E18_0_1,22,E17010002b,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,2000
MPID0319100030328,mathpd27559627397945945,2021-07-29,E18_0_1,37,E17010002b,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,3000
MPID0319100030328,mathpd31931537749747078,2021-09-18,E18_0_1,16,E17010002b,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,2300
MPID0330100032185,mathpd27371505531641464,2021-07-27,E18_0_1,9,E17010002b,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,3100
MPID0330100033152,mathpd27641623469322414,2021-07-30,E18_0_1,6,E17010002b,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,2600
MPID0330100033689,mathpd29436863853882930,2021-08-20,E18_0_1,4,E17010002b,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,1400
MPID0727100048264,mathpd27530932449443311,2021-07-29,E18_0_1,1,E17010002b,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,3000
MPID0727100048264,mathpd27531077062572894,2021-07-29,E18_0_1,13,E17010002b,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,8300
MPID0727100048264,mathpd27627010257443943,2021-07-30,E18_0_1,9,E17010002b,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,4900
MPID0204130020792,mathpd29263234871561812,2021-08-18,E18_0_2,8,E17010002c,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,1700
MPID0225100025733,mathpd29617912173024733,2021-08-22,E18_0_2,2,E17010002c,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,1700
MPID0319100030328,mathpd27559871344416975,2021-07-29,E18_0_2,8,E17010002c,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,2500
MPID0629110045635,mathpd28585977117345530,2021-08-10,E18_0_2,6,E17010002c,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,5800
MPID0727100048264,mathpd27627366401845263,2021-07-30,E18_0_2,9,E17010002c,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,4800
MPID0120060011959,mathpd26863898534042172,2021-07-21,E19_0_1,10,E17010002d,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,2500
MPID0225100025733,mathpd29678713212106150,2021-08-23,E19_0_1,10,E17010002d,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,2000
MPID0629110045635,mathpd28124901055202511,2021-08-05,E19_0_1,4,E17010002d,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,4100
MPID0713100047089,mathpd26948811101739863,2021-07-22,E19_0_1,25,E17010002d,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,2100
MPID0120050010343,mathpd27621812010157321,2021-07-30,E19_0_2,6,E17010002e,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,3300
MPID0120060009320,mathpd28564566315895673,2021-08-10,E19_0_2,4,E17010002e,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,2000
MPID0120060011395,mathpd26817343913194698,2021-07-21,E19_0_2,1,E17010002e,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,1600
MPID0120060011959,mathpd26863960196451795,2021-07-21,E19_0_2,6,E17010002e,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,1900
MPID0129050016615,mathpd28569478420063436,2021-08-10,E19_0_2,6,E17010002e,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,2300
MPID0204130019760,mathpd29075052718065499,2021-08-16,E19_0_2,2,E17010002e,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,2800
MPID0319100030328,mathpd27603160116337777,2021-07-30,E19_0_2,9,E17010002e,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,2600
MPID0729130048717,mathpd28140213144518020,2021-08-05,E19_0_2,2,E17010002e,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,3800
MPID0126030014090,mathpd29266610639274532,2021-08-18,E20_0_1,12,E17010002f,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,1800
MPID0129050016615,mathpd28569591594361185,2021-08-10,E20_0_1,4,E17010002f,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,2400
MPID0222100025417,mathpd28751942025990158,2021-08-12,E20_0_1,1,E17010002f,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,1400
MPID0120050010343,mathpd27622043277052150,2021-07-30,E20_0_2,6,E17010002g,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,2000
MPID0126020013529,mathpd29160159363562073,2021-08-17,E20_0_2,6,E17010002g,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,3800
MPID0222100025417,mathpd28752173627309396,2021-08-12,E20_0_2,19,E17010002g,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,2700
MPID0330100032185,mathpd27372438759261905,2021-07-27,E20_0_2,9,E17010002g,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,4100
MPID0406110033988,mathpd27043867183386709,2021-07-23,E20_0_2,4,E17010002g,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},4,Y,3000
MPID0119040005879,mathpd31181991580090299,2021-09-09,E17_0_1,17,E17010003,다음을 계산하세요.,2 \times 3 = \boxed{\phantom{6}},6,Y,2100
MPID0120050010343,mathpd27300776485470838,2021-07-26,E17_0_1,8,E17010003,다음을 계산하세요.,2 \times 3 = \boxed{\phantom{6}},6,Y,2500
MPID0120060009320,mathpd28306138243701551,2021-08-07,E17_0_1,2,E17010003,다음을 계산하세요.,2 \times 3 = \boxed{\phantom{6}},6,N,2700
MPID0120060011395,mathpd26779761145565745,2021-07-20,E17_0_1,10,E17010003,다음을 계산하세요.,2 \times 3 = \boxed{\phantom{6}},6,Y,2200
MPID0126020013529,mathpd29080292001237327,2021-08-16,E17_0_1,4,E17010003,다음을 계산하세요.,2 \times 3 = \boxed{\phantom{6}},6,N,4800
MPID0129050016470,mathpd31947207710044956,2021-09-18,E17_0_1,17,E17010003,다음을 계산하세요.,2 \times 3 = \boxed{\phantom{6}},6,Y,1600
MPID0129050016615,mathpd27886252400554358,2021-08-02,E17_0_1,1,E17010003,다음을 계산하세요.,2 \times 3 = \boxed{\phantom{6}},6,Y,2000
MPID0203100018443,mathpd30020372363679454,2021-08-27,E17_0_1,12,E17010003,다음을 계산하세요.,2 \times 3 = \boxed{\phantom{6}},6,Y,3500
MPID0222100025417,mathpd28751395632642697,2021-08-12,E17_0_1,1,E17010003,다음을 계산하세요.,2 \times 3 = \boxed{\phantom{6}},6,Y,5100
MPID0319100030328,mathpd27558589458185140,2021-07-29,E17_0_1,1,E17010003,다음을 계산하세요.,2 \times 3 = \boxed{\phantom{6}},6,Y,3400
MPID0319100030328,mathpd27558780785273101,2021-07-29,E17_0_1,8,E17010003,다음을 계산하세요.,2 \times 3 = \boxed{\phantom{6}},6,Y,3300
MPID0319100030328,mathpd27558780785273101,2021-07-29,E17_0_1,13,E17010003,다음을 계산하세요.,2 \times 3 = \boxed{\phantom{6}},6,Y,1900
MPID0319100030328,mathpd27558780785273101,2021-07-29,E17_0_1,32,E17010003,다음을 계산하세요.,2 \times 3 = \boxed{\phantom{6}},6,Y,2300
MPID0319100032029,mathpd29685376710416258,2021-08-23,E17_0_1,4,E17010003,다음을 계산하세요.,2 \times 3 = \boxed{\phantom{6}},6,N,4500
MPID0330100032185,mathpd27363819538306060,2021-07-27,E17_0_1,2,E17010003,다음을 계산하세요.,2 \times 3 = \boxed{\phantom{6}},6,Y,4800
MPID0406110033988,mathpd26776498872358484,2021-07-20,E17_0_1,8,E17010003,다음을 계산하세요.,2 \times 3 = \boxed{\phantom{6}},6,Y,2600
MPID0406110034324,mathpd30580089547799080,2021-09-02,E17_0_1,19,E17010003,다음을 계산하세요.,2 \times 3 = \boxed{\phantom{6}},6,Y,2600
